id_penjualan,tanggal,bulan,id_customer,nama,grup,cabang_sales,id_barang,nama_barang,jumlah_barang,unit,brand,harga,total_sales
IN5997BRG0001,2022-01-20,January,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0001,"ACYCLOVIR DUS",1,DUS,"OGB & PH",96000,96000
IN5997BRG0002,2022-01-20,January,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0002,"ALERGINE TABLET SALUT",4,DUS,ETIKAL,112000,448000
IN5997BRG0003,2022-01-20,January,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0003,AMPICILLIN,6,BOTOL,MARCKS,17000,102000
IN5997BRG0004,2022-01-20,January,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0004,"TRAMADOL KAPSUL 50 MG",11,TABLET,VNS,24500,269500
IN5997BRG0005,2022-01-20,January,CUST55380,"APOTEK TAPAK",Apotek,Aceh,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",40,TABLET,SLCYL,47000,1880000
IN6023BRG0004,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0004,"TRAMADOL KAPSUL 50 MG",10,TABLET,VNS,24500,245000
IN6023BRG0005,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",10,TABLET,SLCYL,47000,470000
IN6023BRG0006,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0006,"KETOCONAZOLE TABLET 200 MG",10,TABLET,"OGB & PH",39000,390000
IN6023BRG0007,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0007,"ERGOTAMINE COFFEINE",10,BOTOL,ETIKAL,64700,647000
IN6023BRG0008,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0008,"TETRACYCLINE KAPSUL 250 MG",10,TABLET,MARCKS,9800,98000
IN6023BRG0009,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0009,"AMBROXOL HC",67,BOTOL,VNS,31000,2077000
IN6023BRG0010,2022-02-01,February,CUST55399,"KLINIK SAHABAT",Klinik,Tangerang,BRG0010,PARACETAMOL,15,BOTOL,SLCYL,21000,315000
IN6024BRG0001,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0001,"ACYCLOVIR DUS",4,DUS,"OGB & PH",96000,384000
IN6024BRG0004,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0004,"TRAMADOL KAPSUL 50 MG",12,TABLET,VNS,24500,294000
IN6024BRG0005,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",12,TABLET,SLCYL,47000,564000
IN6024BRG0006,2022-01-27,January,CUST55394,"KLINIK DR. ANDRI",Klinik,Lampung,BRG0006,"KETOCONAZOLE TABLET 200 MG",12,TABLET,"OGB & PH",39000,468000
